sentence,doc
001 .动员 新兵 及 新兵 政治 工作,Deng1
（ 一九三八年一月十二日 ）,Deng1
一 、 当前 的 战局 ， 是 处于 暂时 的 局部 的 失利 的 境况 ， 决 不是 抗日 自卫战争 的 最后 失败,Deng1
战争 的 最后 胜败 ， 要 在 持久 抗战 中 去 解决,Deng1
今天 的 战争 ， 要求 我们 充分 运用 半年 抗战 的 宝贵 经验,Deng1
不仅 应 研究 战略 战术 ， 而且 还 应 以 最大 努力 ， 利用 一切 可能 ， 动员 广大 民众 加入 军队 ， 补充 现有 兵团 ， 组织 新 的 部队 ， 积蓄 与 扩大 国家 的 武装力量 ， 以 支持 长期 艰苦 的 战争,Deng1
没有 疑问 的 ， 中华民族 的 儿女 ， 是 要 站 在 最 前线 与 日寇 拼命 的 ， 他们 是 能够 以 自己 的 血肉 ， 换取 民族 的 解放 的,Deng1
但 这 并不是 说 我们 动员 新兵 的 工作 ， 没有 任何 的 困难,Deng1
"首先 ， 是 由于 历史 上 "" 好子 不 当兵 "" 的 传统 观念 我们 还 未能 给以 有力 的 克服 ； 其次 ， 是 由于 过去 对 民众 缺乏 民族 的 教育 特别是 抗日 的 教育 ， 甚至 在 抗战 爆发 后 ， 这 一 重大 的 工作 ， 依然 表现 着 异常 的 不够 ； 第三 ， 是 由于 我们 今天 征调 壮丁 的 方式 ， 还 不无 强迫 的 错误 ， 这种 错误 的 继续 ， 造成 了 动员 新兵 的 极大 困难 ， 且 使 入伍者 缺乏 坚定 的 意志 与 作战 的 勇气 ， 甚至 还 可 造成 民众 与 政府 、 军队 的 对立 ， 给 日寇 、 汉奸 以 活动 的 口实 与 机会 ； 最后 ， 也 由于 对抗 日 军人 家属 的 困难 ， 没有 切实 实行 政府 所 颁布 的 优待 办法 ， 给以 最低 限度 的 解决 ， 使 前线 战士 能够 抛开 家庭 的 顾虑 而 安心 作战 ， 并 以 这样 的 影响 提高 民众 加入 军队 的 决心 和 勇气",Deng1
假如 我们 冷静 地 回顾 几个月 来 征调 兵员 的 经验 ， 我们 当 可 看到 在 某些 地区 ， 正 因为 有 了 上述 的 缺点 和 错误 ， 致使 民众 不能 充分 认识 国家 已经 到 了 存亡绝续 的 关头 ， 以 最高 的 民族 仇恨 ， 奔赴 抗日 的 前线 ， 反会 产生 和 增长 避免 兵役 的 心理,Deng1
这种 结果 ， 将 使 民众 不能 充分 了解 政府 积蓄 与 扩大 国防 力量 ， 以 争取 抗战 最后 胜利 的 方针 之 重要 ， 反会 在 部分 人民 中 增加 对于 政府 的 不满 情绪,Deng1
这种 结果 ， 将 使 民众 不能 充分 认识 前线 官兵 的 艰苦奋斗 与 国 与 家 的 关系 ， 而 热烈 地 拥护 和 慰劳 军队 ， 实现 大革命 时代 军民 一致 的 优良 传统 ， 来 争取 抗战 的 最后 胜利 ， 反会 增加 部分 民众 厌恶 军队 不愿 当兵 的 观念,Deng1
日寇 、 汉奸 、 托派 之辈 ， 则 更 利用 这些 缺点 和 错误 ， 来 进行 其 挑拨 煽惑 的 阴谋 ， 企图 造成 民变 ， 以 威胁 和 扰乱 抗日 的 后方,Deng1
这些 严重 的 现象 ， 即使 是 在 一个 两个 村庄 发生 出来 ， 即使 在 一 极 小部分 民众 中 表现 出来 ， 已经 足够 引起 我们 的 最高警惕 了,Deng1
不错 ， 这 一 时期 的 征调 工作 ， 已 有 其 相当 的 成绩 ， 前线 军队 一般 地 得到 了 相当 的 补充 ， 但 这 决 不能 成为 一种 根据 ， 认为 我们 还 可以 继续 那些 不好 的 征调 方式,Deng1
它 纵然 可以 供给 一时 的 补充 ， 但 绝 不能 满足 长期 抗战 的 需要,Deng1
只有 纠正 那些 不 妥当 的 方式 ， 才能 保证 今后 动员 任务 的 实现,Deng1
二 我们 指出 由于 征调 方式 的 不当 ， 而 可能 产生 的 不好 结果 与 影响 ， 其 意义 不 在于 消极 的 批评 ， 而 在于 如何 去 纠正 ， 采取 好的 动员 方式 ， 使 前线 能够 得到 源源不绝 的 补充 ， 益 能 组织 足够 数量 的 新 军队,Deng1
