sentence,doc
建立毕节开发扶贫生态建设试验区.（一九八八年六月八日）建立开发扶贫、生态建设试验区的设想，是在学习贯彻党的十三大精神过程中逐步形成的，是进一步解放思想、深化改革的产物,Hu1
我省是全国最贫困的省份之一,Hu1
"党的十一届三中全会以来,我省经济社会有了很大发展，但由于经济基础薄弱，各种客观条件制约，加上我们工作的原因,使我省与全国特别是东部地区的差距越来越大",Hu1
就省内而言，一个贫困，一个生态恶化，仍然是严重困扰我省经济社会发展的两大突出问题,Hu1
"实践告诉我们，在同样的政策条件下，贫困地区与发达地区在经济社会发展上存在着效益上的差距,其结果将是地区差距扩大,如果不清醒看到这一点,并相应采取有力措施,贫困地区将会更加落后",Hu1
面对这一现实，通过对过去工作的反思，我们提出了用灵活的梯度政策来弥补日益扩大的效益差距、探索我省经济社会发展新路子的想法,Hu1
"也就是说，要以改革总揽全局，坚持从贵州实际出发，坚持生产力标准,采取一切有利于消除贫困落后的特殊措施，探索解决贫困和生态恶化新途径",Hu1
"为此，省委和省政府决定变全面推进为重点突破,选择典型地区进行改革试验，把毕节地区作为开发扶贫、生态建设试验区",Hu1
经过前段时间酝酿准备，加上这次会议所做工作，建立试验区条件已经基本具备，序幕已经拉开,Hu1
"这次会议后,毕节试验区就要由准备阶段转入起步阶段",Hu1
如何把试验区工作迅速展开，如何加快试验区建设步伐，我讲几点看法,Hu1
一、牢牢把握开发扶贫、生态建设这个主题,Hu1
毕节地区是开发扶贫、生态建设试验区,Hu1
这是毕节地区情况所决定的，也是毕节试验区与全国其他经济特区、开发区所不同的,Hu1
全国所有经济特区、开发区都是对外开放的前沿地带，采取出口导向的经济战略，以发展外向型经济为目标;而毕节地区作为内陆边远山区，则是以市场为导向、发挥资源优势，以发展商品经济为目标,Hu1
经济特区、开发区是解决经济起飞先富起来的问题，而毕节则是改变贫困面貌、继续解决温饱的问题,Hu1
我们必须对毕节试验区的目标、任务特别是自身特点有清醒认识，牢牢把握开发扶贫、生态建设这个主题,Hu1
在学习和借鉴先进地区经验时，不可能也不应该照抄照搬沿海开放地区的做法和模式,Hu1
"这不仅仅是思想方法、工作方法问题,从某种意义上说也是决定试验区工作成败的关键问题",Hu1
"牢牢把握开发扶贫、生态建设这个主题,就要针对全地区还有三百万农村人口温饱问题没有彻底解决这一现实,采取一切有利于摆脱贫困落后的政策措施，加快资源开发,加速劳动力转移，大力发展商品经济，逐步实现绝大多数农民脱贫目标",Hu1
"要针对全地区水土流失面积已占总面积一半以上的现实，采取强有力措施，全面规划、综合治理,把生态建设和经济开发紧密结合起来,尽快停止人为的生态破坏，逐步走向生态良性循环",Hu1
"如果这两大目标都能如期实现，那就表明试验区改革试验是成功的,工作是卓有成效的",Hu1
如果没有实现，那就说明试验区任务没有完成,Hu1
"实现这两大目标,任务很艰巨",Hu1
"这就需要在统一认识的基础上，强化对开发扶贫、生态建设工作的领导，强化有利于开发扶贫、生态建设的政策，有倾斜度地安排开发扶贫、生态建设的资金投入和技术投入，动员各方面力量,努力把开发扶贫、生态建设工作落到实处",Hu1
二、以改革总揽全局，加快改革步伐,Hu1
"开发扶贫、生态建设试验区,首先必须是加快和深化改革的试验区",Hu1
实现自然经济向商品经济转变，必须改革束缚商品经济发展的僵化体制,Hu1
实现由救济扶贫向开发扶贫转变，必须改革扶贫方式和扶贫工作,Hu1
实现生态恶性循环向良性循环转变，必须以改革精神推进生态建设,Hu1
"因此,改革是加快经济发展的动力，也是开发扶贫、生态建设的动力",Hu1
"在制定并落实更加灵活和更加优惠的政策、改善外部环境的同时,必须引导企业和有关方面把注意力放在深化内部改革、激发内在活力、改善经营机制上",Hu1
"没有这一点,再好的政策也难以发挥应有效益",Hu1
"这里,我想强调一下运用价值规律问题",Hu1
我省生产力发展水平低，不仅表现在人均生产水平上，而且表现在商品化程度上,Hu1
"商品经济不发达,在农村仍然是自然经济和半自然经济占主体,这也是我省经济的一个重要特征",Hu1
这方面毕节地区恐怕更为突出，因此发展社会主义商品经济任务就更加艰巨,Hu1
这就更加需要注意发挥价值规律作用,Hu1
认为商品化程度低、价值规律起不了作用的认识是不正确的,Hu1
"价值规律是最有效的指挥棒，愈是商品经济不发达,就愈要自觉借助于价值规律的力量去推动和激发商品生产发展",Hu1
由于我们在价值规律运用上还不熟悉，这就有必要进一步提倡学习价值规律、运用价值规律，上好价值规律这所大学校,Hu1
还有，发展多种所有制经济问题，已经作为试验区建设重要指导原则确定下来,Hu1
"能不能取得突破性进展，固然有政策引导问题,这一方面应该说已初步得到解决，更重要的是解决观念和习惯势力问题",Hu1
首先把各级干部特别是领导干部思想观念问题解决好，只要不再把两眼只盯着全民所有制经济，多种经济成分就可以发展起来,Hu1
三、注重智力开发和培养引进人才,Hu1
"党的十三大明确提出了""使经济建设转到依靠科技进步和提高劳动者素质的轨道上来""",Hu1
这是建设试验区必须坚持的战略思想,Hu1
从毕节实际情况看，技术落后、管理落后、劳动者素质较低是导致经济落后的重要原因,Hu1
"反过来说,进行智力开发、提高科技和管理水平，又是提高经济效益的决定性因素",Hu1
在试验区工作逐步展开后，能否有效解决人才短缺矛盾，将从根本上影响试验区工作进程,Hu1
"因此,加强智力开发，注重培养人才、引进人才,已经到了刻不容缓的程度",Hu1
"要在全地区进一步造成尊重知识、尊重人才的环境,充分调动广大知识分子和各类人才积极性",Hu1
随着城乡商品经济发展，各地都涌现出了一批有胆略、有魄力、懂生产、会经营的商品生产经营者,Hu1
"他们当中的一些人已经成长为名副其实的企业家,他们是发展社会主义商品经济的带头人",Hu1
一定要正确对待他们，充分肯定他们在改革和发展商品经济中的开拓精神，对他们的缺点和失误要真心诚意教育和帮助,Hu1
"要善于发挥""能人效应""，力求用好一个能人、带动周围一片，形成一个有利于改革探索、有利于发展社会主义商品经济的良好社会环境",Hu1
要十分注意提高全体劳动者素质,Hu1
在企业，要加强职工全员培训，特别是新建企业一定要对新职工进行必要的政治、经济知识的普及,Hu1
"在农村，要加强乡土科技人才培养和使用,促进农业生产由粗放经营向集约经营转变",Hu1
"要把发展教育事业放在突出的战略位置,从毕节实际出发,在大力加强基础教育、努力提高教学质量的同时，重点发展职业技术教育、培养大批初级技术人才，以适应试验区建设需要",Hu1
四、全方位扩大开放,Hu1
"从实现开发扶贫、生态建设目标出发,从大力发展社会主义商品经济的要求出发,从全国发展外向型经济战略的形势出发,都必须彻底改变毕节长期形成的封闭格局,实行全方位开放",Hu1
只有这样，才能缓解开发建设过程中人才、资金、信息短缺矛盾，借助外力加快开发扶贫、生态建设步伐,Hu1
要进一步解放思想，树立全方位开放意识,Hu1
"坚决抛弃满足现状、夜郎自大、自我封闭的自然经济观念,坚决克服""怕吃亏”、""怕肥水流入外人田”的小生产狭隘观念，从思想上解决好让利于外、让利在先问题,形成有利于扩大开放的舆论环境",Hu1
实行全方位开放，当然包括向国外开放,Hu1
"从毕节实际出发,要着重抓好投资环境改善",Hu1
