sentence,doc
建立 毕节 开发 扶贫 生态 建设 试验区 . （ 一九八八年 六月 八日 ） 建立 开发 扶贫 、 生态 建设 试验区 的 设想 ， 是 在 学习 贯彻 党 的 十三大 精神 过程 中 逐步 形成 的 ， 是 进一步 解放 思想 、 深化 改革 的 产物,Hu1
我省 是 全国 最 贫困 的 省份 之一,Hu1
"党 的 十一届 三中全会 以来 , 我省 经济 社会 有 了 很 大 发展 ， 但 由于 经济 基础 薄弱 ， 各种 客观 条件 制约 ， 加上 我们 工作 的 原因 , 使 我省 与 全国 特别是 东部 地区 的 差距 越来越 大",Hu1
就 省内 而言 ， 一个 贫困 ， 一个 生态 恶化 ， 仍然 是 严重 困扰 我省 经济 社会 发展 的 两 大 突出 问题,Hu1
"实践 告诉 我们 ， 在 同样 的 政策 条件 下 ， 贫困 地区 与 发达 地区 在 经济 社会 发展 上 存在 着 效益 上 的 差距 , 其 结果 将 是 地区 差距 扩大 , 如果 不 清醒 看到 这 一点 , 并 相应 采取 有力 措施 , 贫困 地区 将 会 更加 落后",Hu1
面对 这 一 现实 ， 通过 对 过去 工作 的 反思 ， 我们 提出 了 用 灵活 的 梯度 政策 来 弥补 日益 扩大 的 效益 差距 、 探索 我省 经济 社会 发展 新 路子 的 想法,Hu1
"也就是说 ， 要 以 改革 总揽 全局 ， 坚持 从 贵州 实际 出发 ， 坚持 生产力 标准 , 采取 一切 有利于 消除 贫困 落后 的 特殊 措施 ， 探索 解决 贫困 和 生态 恶化 新 途径",Hu1
"为此 ， 省委 和 省政府 决定 变 全面 推进 为 重点 突破 , 选择 典型 地区 进行 改革 试验 ， 把 毕节 地区 作为 开发 扶贫 、 生态 建设 试验区",Hu1
经过 前段 时间 酝酿 准备 ， 加上 这次 会议 所 做 工作 ， 建立 试验区 条件 已经 基本 具备 ， 序幕 已经 拉开,Hu1
"这次 会议 后 , 毕节 试验区 就要 由 准备 阶段 转入 起步 阶段",Hu1
如何 把 试验区 工作 迅速 展开 ， 如何 加快 试验区 建设 步伐 ， 我 讲 几 点 看法,Hu1
一 、 牢牢 把握 开发 扶贫 、 生态 建设 这个 主题,Hu1
毕节 地区 是 开发 扶贫 、 生态 建设 试验区,Hu1
这是 毕节 地区 情况 所 决定 的 ， 也 是 毕节 试验区 与 全国 其他 经济 特区 、 开发区 所 不同 的,Hu1
全国 所有 经济 特区 、 开发区 都 是 对外开放 的 前沿 地带 ， 采取 出口 导向 的 经济 战略 ， 以 发展 外向型 经济 为 目标 ; 而 毕节 地区 作为 内陆 边远 山区 ， 则 是 以 市场 为 导向 、 发挥 资源 优势 ， 以 发展 商品经济 为 目标,Hu1
经济 特区 、 开发区 是 解决 经济 起飞 先 富 起来 的 问题 ， 而 毕节 则 是 改变 贫困 面貌 、 继续 解决 温饱 的 问题,Hu1
我们 必须 对 毕节 试验区 的 目标 、 任务 特别 是 自身 特点 有 清醒 认识 ， 牢牢 把握 开发 扶贫 、 生态 建设 这个 主题,Hu1
在 学习 和 借鉴 先进 地区 经验 时 ， 不 可能 也 不 应该 照抄 照搬 沿海 开放 地区 的 做法 和 模式,Hu1
"这不 仅仅 是 思想 方法 、 工作 方法 问题 , 从 某种 意义 上 说 也 是 决定 试验区 工作 成败 的 关键 问题",Hu1
"牢牢 把握 开发 扶贫 、 生态 建设 这个 主题 , 就要 针对 全 地区 还有 三百万 农村 人口 温饱 问题 没有 彻底 解决 这 一 现实 , 采取 一切 有利于 摆脱 贫困 落后 的 政策 措施 ， 加快 资源 开发 , 加速 劳动力 转移 ， 大力 发展 商品经济 ， 逐步 实现 绝大多数 农民 脱贫 目标",Hu1
"要 针对 全 地区 水土 流失 面积 已 占 总面积 一半 以上 的 现实 ， 采取 强有力 措施 ， 全面 规划 、 综合治理 , 把 生态 建设 和 经济 开发 紧密 结合 起来 , 尽快 停止 人为 的 生态 破坏 ， 逐步 走向 生态 良性 循环",Hu1
"如果 这 两 大 目标 都 能 如期 实现 ， 那 就 表明 试验区 改革 试验 是 成功 的 , 工作 是 卓有成效 的",Hu1
如果 没有 实现 ， 那 就 说明 试验区 任务 没有 完成,Hu1
"实现 这 两 大 目标 , 任务 很 艰巨",Hu1
"这就 需要 在 统一 认识 的 基础 上 ， 强化 对 开发 扶贫 、 生态 建设 工作 的 领导 ， 强化 有利于 开发 扶贫 、 生态 建设 的 政策 ， 有 倾斜度 地 安排 开发 扶贫 、 生态 建设 的 资金 投入 和 技术 投入 ， 动员 各 方面 力量 , 努力 把 开发 扶贫 、 生态 建设 工作 落到实处",Hu1
二 、 以 改革 总揽 全局 ， 加快 改革 步伐,Hu1
"开发 扶贫 、 生态 建设 试验区 , 首先 必须 是 加快 和 深化 改革 的 试验区",Hu1
实现 自然经济 向 商品 经济 转变 ， 必须 改革 束缚 商品 经济 发展 的 僵化 体制,Hu1
实现 由 救济 扶贫 向 开发 扶贫 转变 ， 必须 改革 扶贫 方式 和 扶贫 工作,Hu1
实现 生态 恶性 循环 向 良性 循环 转变 ， 必须 以 改革 精神 推进 生态 建设,Hu1
"因此 , 改革 是 加快 经济 发展 的 动力 ， 也 是 开发 扶贫 、 生态 建设 的 动力",Hu1
"在 制定 并 落实 更加 灵活 和 更加 优惠 的 政策 、 改善 外部 环境 的 同时 , 必须 引导 企业 和 有关 方面 把 注意力 放 在 深化 内部 改革 、 激发 内在 活力 、 改善 经营 机制 上",Hu1
"没有 这 一点 , 再 好的 政策 也 难以 发挥 应有 效益",Hu1
"这里 , 我 想 强调 一下 运用 价值 规律 问题",Hu1
我省 生产力 发展 水平 低 ， 不仅 表现 在 人均 生产 水平 上 ， 而且 表现 在 商品化 程度 上,Hu1
"商品 经济 不 发达 , 在 农村 仍然 是 自然经济 和 半自然 经济 占 主体 , 这 也 是 我省 经济 的 一个 重要 特征",Hu1
这 方面 毕节 地区 恐怕 更为 突出 ， 因此 发展 社会主义 商品 经济 任务 就 更加 艰巨,Hu1
这就 更加 需要 注意 发挥 价值规律 作用,Hu1
认为 商品化 程度 低 、 价值 规律 起 不 了 作用 的 认识 是 不 正确 的,Hu1
"价值 规律 是 最 有效 的 指挥棒 ， 愈 是 商品 经济 不 发达 , 就 愈 要 自觉 借助于 价值规律 的 力量 去 推动 和 激发 商品 生产 发展",Hu1
由于 我们 在 价值 规律 运用 上 还 不 熟悉 ， 这就 有 必要 进一步 提倡 学习 价值 规律 、 运用 价值规律 ， 上好 价值 规律 这 所 大 学校,Hu1
还有 ， 发展 多种 所有制 经济 问题 ， 已经 作为 试验区 建设 重要 指导 原则 确定 下来,Hu1
"能 不 能 取得 突破性 进展 ， 固然 有 政策 引导 问题 , 这 一方面 应该 说 已 初步 得到 解决 ， 更 重要 的 是 解决 观念 和 习惯 势力 问题",Hu1
首先 把 各级 干部 特别 是 领导 干部 思想 观念 问题 解决 好 ， 只要 不 再 把 两 眼 只 盯 着 全民 所有制 经济 ， 多种 经济 成分 就 可以 发展 起来,Hu1
三 、 注重 智力 开发 和 培养 引进 人才,Hu1
