sentence,doc
设置经济特区，加快经济发展(1),Jiang1
（一九八○年八月二十一日）,Jiang1
我受国务院委托，现对在广东、福建两省设置经济特区[1]和《广东省经济特区条例》作简要说明,Jiang1
一、设置经济特区的依据和经济特区的性质,Jiang1
根据第五届全国人民代表大会第二次会议通过的《政府工作报告》提出的“继续做好技术引进工作，积极利用国外资金，努力扩大出口”的任务，参照世界上一些发展中国家举办出口加工区、加快经济发展的经验，为发展对外经济合作和技术交流，扩大出口贸易，促进社会主义现代化建设，去年七月即着手筹备在广东省深圳、珠海、汕头和福建省厦门划出一定区域，设置经济特区,Jiang1
先开始在深圳筹建,Jiang1
这种经济特区吸收了世界上一些出口加工区的有益经验和通用做法，又有我国自己的特点,Jiang1
这是在社会主义制度下，在特定地区内，鼓励和利用外国投资、加快经济发展的一种特殊方式,Jiang1
广东、福建两省毗邻香港、澳门和台湾，港澳台同胞和华侨很多，对外资、侨资具有特殊的吸引力，在两省的特定地区设置经济特区，有其独特的有利条件,Jiang1
经济特区采取与内地不同的体制和更加开放的政策，充分利用国外的资金和技术，发展工业、农业、畜牧业、养殖业、旅游业、住宅建筑业、高技术研究制造业和其他行业,Jiang1
由于它比一般出口加工区的范围要广一些，是综合性经济事业，所以定名为经济特区，以资区别,Jiang1
现在，世界上兴建的出口加工区已有七十多处，大部分收到了较好的经济效益,Jiang1
深圳经济特区筹建以来进展良好，其中蛇口工业区进展较快，已显示出一些好的前景,Jiang1
二、经济特区组织管理的基本原则,Jiang1
经济特区管理必须维护我国主权,Jiang1
土地属中华人民共和国所有,Jiang1
经济特区的企业和个人的活动必须遵守我国法律、法令和有关规定,Jiang1
外商在经济特区内投资必须经过审查批准，服从我国政府管理,Jiang1
两省设立经济特区管理委员会，在省人民政府直接领导下，行使政府职权，对经济特区实行统一管理,Jiang1
经济特区设双重海关，实行内紧外松的原则,Jiang1
三、对经济特区企业的优惠政策,Jiang1
在经济特区条例中作了一些比较优惠的规定：经过一定的批准手续，允许外资独自经营企业；允许国外银行和保险公司设立分支机构；免征货物进出口关税；享受比内地中外合资企业较低的税率，也略低于港澳的税率；简化出入境手续，方便往来；外汇管理适当放宽，客商的合法利润和外籍职工的工资收入在缴纳各种税款后，允许通过经济特区的银行汇出,Jiang1
对经济特区企业的场地使用费、使用年限等，都作了较内地中外合资企业更优惠的规定,Jiang1
这些规定既考虑了我国的利益，又注意到外国投资者和港澳台同胞、华侨投资者的利益，总的目的是更有效地吸收外来资金、先进技术和管理经验为我所用，加快四化建设,Jiang1
四、经济特区建设的实施步骤,Jiang1
建设经济特区，在经济上、意识形态上存在着尖锐的斗争，而我们又缺乏经验；同时，目前国内的财力物力也有限,Jiang1
因此，要采取既积极又慎重的方针,Jiang1
准备首先集中力量把深圳经济特区建设好，其次是珠海、厦门、汕头经济特区,Jiang1
深圳市（即原宝安县）行政区划为二千零二十平方公里，将其大、小梅沙到福田、蛇口这一狭长地段共三百二十七点五平方公里划为经济特区（其中二百二十九点五平方公里为山地，是很好的自然屏障，实际使用面积为九十八平方公里）,Jiang1
珠海市行政区划为六百五十四平方公里，将其中六点八平方公里规划为经济特区[2],Jiang1
厦门本岛一百二十平方公里，经济特区初步规划为二点五平方公里[3],Jiang1
汕头经济特区，正在进行规划和可行性研究,Jiang1
以上这四个经济特区的建设，都要先做好总体规划，分步实施,Jiang1
要把平整土地和水、电、道路、通讯等基础设施建设搞好，为吸引外资创造良好条件,Jiang1
要确定经济特区与内地的分界线，添置必要的隔离设施，严格管理,Jiang1
经济特区的投资项目建设，必须符合发展规划的要求,Jiang1
要充分利用现有基础，把那些投资少、周转快、收效大的项目搞起来，边生产边发展,Jiang1
由于我们办经济特区缺少经验，一下子拿不出一个总的经济特区条例来，因此先搞一个《广东省经济特区条例》,Jiang1
该条例已经广东省第五届人民代表大会通过,Jiang1
在国务院讨论通过之前，国家进出口管理委员会曾邀请有关部门和广东省的同志对条例进行了多次研究，并作了必要的修改,Jiang1
请予审议决定,Jiang1
注释,Jiang1
[1]一九七九年七月，中共中央、国务院批转《广东省委、福建省委关于对外经济活动实行特殊政策和灵活措施的两个报告》，同意在广东省深圳、珠海、汕头和福建省厦门试办出口特区,Jiang1
一九八○年五月，中共中央、国务院《关于〈广东、福建两省会议纪要〉的批示》中将出口特区改称为经济特区,Jiang1
同年八月，第五届全国人民代表大会常务委员会第十五次会议批准《广东省经济特区条例》，这四个经济特区相继兴建,Jiang1
一九八八年四月，第七届全国人民代表大会第一次会议通过决议，批准海南岛为海南经济特区，实行更加灵活开放的经济政策,Jiang1
我国现有五个经济特区,Jiang1
[2]一九八三年六月二十九日，经国务院批准，珠海经济特区面积扩至十五点一六平方公里,Jiang1
一九八八年四月五日，经国务院批准，珠海经济特区面积扩至一百二十一平方公里,Jiang1
[3]一九八五年六月二十九日，经国务院批准，厦门经济特区的区域范围调整为厦门全岛和鼓浪屿全岛，面积一百三十一平方公里,Jiang1
(1)这是江泽民同志在五届全国人大常委会第十五次会议上所作的关于在广东、福建两省设置经济特区和《广东省经济特区条例》的说明,Jiang1
江泽民同志当时任国家进出口管理委员会、国家外国投资管理委员会副主任兼秘书长,Jiang1
振兴电子工业，促进四化建设(1),Jiang1
（一九八四年九月十六日）,Jiang1
在新技术革命的挑战面前，人们十分关注我国电子工业的建设和发展,Jiang1
多数同志主张，我国应该重视新兴技术的发展和应用，发挥电子工业在现代化建设中的先导作用，采取有力措施，加快它的发展,Jiang1
只有这样，才能创建和发展高技术产业，用先进电子技术改造传统产业，建立起我国现代化的物质技术基础，赶上先进工业国家的科学技术水平，为实现经济振兴创造条件,Jiang1
有些同志则认为，我国当务之急是重点发展传统工业，等把传统工业搞上去，有了基础，才能大力发展电子工业,Jiang1
也有人认为，我国人口多，搞自动化会造成就业难，等等,Jiang1
我们认为，在世界新技术革命蓬勃兴起的新形势下，我们应该深刻领会国务院关于第六个五年计划的报告中的一段话：“电子工业在现代化建设中具有特别重大的作用，我们应该非常重视它的发展，并把电子技术逐步应用于国民经济各部门,Jiang1
”根据这个精神，我们应该高度重视电子工业的发展,Jiang1
诚然，目前我国传统工业还不十分发达，技术水平也不高，特别是能源、交通是四化建设中最薄弱的环节，应该作为建设重点，加快发展,Jiang1
但是，怎样把传统工业和薄弱环节搞上去呢,Jiang1
关键在于依靠技术进步，把传统工业建立在先进物质技术基础之上,Jiang1
从某种意义上说，先进物质技术基础的核心就是现代电子科学技术,Jiang1
大力发展和应用电子科学技术，可以为传统工业的建设和技术改造提供先进技术装备，注入新的生产力，同时又可以提高能源利用率，减少国民经济发展对能源的压力,Jiang1
这也是解决能源、交通紧张状况的有效途径之一,Jiang1
据预测，我国电力工业采用电子计算机自动监控和调度，每年仅减少停电损失就可达二十余亿元,Jiang1
一九八○年，我国火力发电二千四百多亿度，如果采用电子控制等先进技术，达到国外先进水平，可减少煤耗二千三百万吨,Jiang1
煤炭、石油、化工等部门采用电子技术进行生产过程自动控制和经济管理，可以大大提高生产效率,Jiang1
铁路运输如果普遍采用电子计算机进行营运管理，据国外经验，一般可提高运输效率百分之二十五至百分之三十,Jiang1
我国即使按提高百分之十测算，可节省大量货车，一年可多运两亿吨左右的物资，仅铁路系统即可增收十亿元以上，因加速物资周转而带来的社会经济效益就更为可观,Jiang1
机械、轻工、纺织等行业采用电子技术，可以促进产品更新换代，提高生产技术水平，引起产业结构的重大变革,Jiang1
所以，在现代化建设中，电子工业要以传统工业为基础，而传统工业的发展和改造又离不开电子技术的支持,Jiang1
加快电子工业发展，并使其有一定的超前期，是合乎经济发展规律的,Jiang1
我国人口多，劳动力资源雄厚，这是发展劳动密集型产业的有利条件,Jiang1
但是，不能因此而忽视搞自动化的必要性,Jiang1
在我们国家，搞自动化，主要不是为了把人顶替下来，而是为了提高产品质量、生产效率和经济效益，用同样多的劳动消耗创造更多的物质财富，满足人民群众不断增长的物质文化需要,Jiang1
同时，我们在进行科学实验和社会生产的活动中，有许多工程和作业是不能单靠人的双手和器官直接完成的，必须借助现代化的电子技术装备才能实现,Jiang1
如浩繁数据的计算和处理，微观结构和宇宙宏观世界的观测，高精度产品的生产过程控制和检测，战略武器的制导，大量的瞬息变化的社会信息的传输和处理等，都要借助电子技术装备才能达到快速、灵敏、准确的要求,Jiang1
搞了自动化，在某些工序和岗位上会减少一些直接生产人员，但这些人可以转移到别的岗位上从事新的工作,Jiang1
就是达到很高的自动化程度以后，也需要许多人监控技术装备，做程序设计、维护修理及辅助工作等,Jiang1
搞自动化可以促使职工队伍结构从体力劳动型向智力劳动型转变,Jiang1
电子工业中一些新兴行业的发展，还会为更多的人提供新的就业机会,Jiang1
如软件业和信息处理服务业等新兴行业的迅速发展，就要求大量增加从事软件制作、信息处理和技术服务的人员,Jiang1
大力发展和推广应用电子技术，会有力地推动社会主义精神文明建设，加快提高全民族的科学文化水平,Jiang1
因为电子工业能为科学研究、文化教育、广播宣传提供多种多样先进的科学实验手段、教育设施和宣传工具，从而促进科学技术和文化的传播，扩大教育面，提高教学质量,Jiang1
电子工业还向社会提供日益丰富多彩的家用电器，促进人民群众的物质文化生活水平逐步提高,Jiang1
目前，我国电子工业发展中存在的突出问题是：基础薄弱，技术落后，与世界先进水平相比差距很大，这种情况同它在四化建设中担负的重任很不适应；面对新技术革命的挑战和现代化建设对电子技术的迫切需求，电子工业正处于需要集中力量加速发展的关键时期，而目前我国财力有限，能用于发展电子工业的财力物力不多，又很分散；在新技术革命的启示和推动下，各地区各部门对发展电子工业表现出前所未有的可贵的积极性，但如果指导不力，也有可能产生一哄而起、盲目发展的问题；进一步实行对外开放政策后，给我们引进和采用世界先进技术、加快技术进步带来更多的机会，但同时我国电子产品也面临着国外电子产品更加激烈的竞争；目前我国经济管理体制中存在的政企不分、条块分割问题，不利于全国电子工业统筹规划、协调发展，不利于发挥企业的积极性,Jiang1
鉴于此，要加快发展我国电子工业，必须从我国实际情况出发，借鉴国外的有益经验，坚持改革，勇于创新，认真解决好以下几个问题,Jiang1
（一）切实解决电子工业的战略地位问题，并制定相应的对策,Jiang1
电子工业在四化建设中担负着为部队提供现代军事电子装备、为国民经济各部门提供现代电子技术装备、为人民群众提供生活消费类电子产品的重任,Jiang1
新技术革命越深入，它在发展经济、推动社会进步中的作用就越重要,Jiang1
因此，我认为，在经济建设中，我们应该把电子工业放在和能源、交通同样重要的战略地位上来，重点扶持，加快它的发展,Jiang1
同时，要研究电子工业的发展战略和制定相应的对策，如投资对策、新技术新产品研究开发对策、技术引进和电子产品进出口对策、工业生产布局对策、电子技术应用和装备对策、智力开发对策等，作为具体的政策措施，在实际工作中加以落实,Jiang1
（二）树立全国一盘棋思想，统筹规划，加强行业管理,Jiang1
电子工业是高技术复合产业，要求基础和整机、硬件和软件、单机产品和系统工程、生产和技术服务成龙配套地发展，还要求科研与生产紧密结合、生产规模与市场需要相适应,Jiang1
我国电子工业正处于新兴时期，各地区各部门都在积极发展，形势很好,Jiang1
值得注意的是，大家往往对投资少、见效快、市场紧俏的某些项目（如彩色电视机、收录机、微型计算机等的装配生产）争相上马，对基础产品和投资多、难度大以及应用量少面窄的一些重要项目则缺乏积极性,Jiang1
这有可能造成电子工业内部比例失调,Jiang1
为了把各方面办电子事业的积极性引导到有计划按比例健康发展的轨道上来，必须坚持全国一盘棋，搞好行业规划，并在统筹规划下打破部门界限和地区界限，把全国从事电子科研、生产、教学、使用的力量组织起来，合理分工，各有侧重，大力协同；要本着解放思想、实事求是、积极实践、步子踏实的指导思想，对电子工业领导管理体制进行系统的深入的改革，以政企分开为方向，简政放权，采用经济办法，促进企业改组联合和经济技术结构合理化,Jiang1
（三）实行有限目标、突出重点的方针,Jiang1
电子科学技术和电子工业门类繁多，面临的科研、试制、生产的任务很重，而国家的财力物力有限，百事待兴,Jiang1
这就要求我们从实际情况出发，坚持量力而行、突出重点，即在一定的发展阶段，确定有限目标，集中力量抓最重要的产品、最关键的技术，通过重点突破、带动全局，争取在有限投资的条件下取得最好的效益,Jiang1
在发展我国电子工业的战略部署上，近期、中期应该集中主要力量发展微电子工业和微型计算机工业，力争在“七五”期间建立微电子工业的基础，以加速军事电子装备、电子计算机、通信设备以及其他生产资料类重点产品的发展，加速这些产品向微电子技术基础转移，在新的技术基础之上实现电子工业综合协调发展,Jiang1
为了集中力量保证重点，需要正确处理集中和分散的关系,Jiang1
对技术和资金高度密集的大规模集成电路、电子计算机等产品的科研和生产，要相对集中，选择科研、教育、生产力量比较雄厚和资源条件、自然环境比较优越的地区，作为重点建设的基地，走集约化生产的路子，而对这些产品的应用开发则应该广泛展开；对技术上比较容易掌握、应用量大面广的其他电子产品，如有些消费类电子产品，生产厂点可以相对分散些，但也要进行行业规划，并按照市场需求和企业素质等条件合理布局，重点扶持有优质名牌产品的企业增加生产，做到计划指导与竞争相结合,Jiang1
（四）进一步实行对外开放政策，积极引进和采用世界先进科技成果,Jiang1
当代电子科学技术日新月异、突飞猛进，为了缩短与世界先进水平的差距，我们既要勇于攀登科学技术高峰，又要采取阶段化发展战略，即在一定时期内力求在不同层次上实现阶段性发展目标，以保持发展的相对稳定性,Jiang1
在国家进一步实行对外开放政策的新形势下，要进一步扩大对外经济技术交流，采用技贸结合、工贸结合等多种方式和渠道，引进和采用适用的世界先进技术和现代化管理方法，力争跳越电子技术某些传统发展阶段，加速技术进步,Jiang1
在某些领域或项目上，我们可以实行逆向发展的模式，即对社会急需而我国目前又不能提供的产品，可以先进口元器件和设备组装生产，或进口整机，先从应用开发和技术服务搞起，在这个过程中消化吸收、改进创新，逐步实现国产化，提高自力更生的能力,Jiang1
要充分发挥沿海开放城市和经济特区对外经济技术交流的窗口作用，同时选择某些重点企业，赋予它们更大的对外经营活动的自主权，更有效地开展对外经济技术交流和合作,Jiang1
在进一步对外开放面临国外电子产品更加激烈竞争的情况下，应该制定我国阶段性电子技术装备政策和对国产电子产品有限度的适当的保护政策，以利于我国民族电子工业健康发展,Jiang1
此外，我们要注重智力资源的开发，抓好人才培养,Jiang1
同时，进一步加强和改善科技队伍管理，继续落实好知识分子政策，合理使用人才，充分发挥现有科技人员的作用,Jiang1
我们还要重视新型材料的开发，为电子工业发展奠定物质基础,Jiang1
今后，应着重开发大直径、高纯度、高完整性的单晶硅及其他辅助材料，推进砷化镓等化合物半导体的工业化生产，加快信息记录材料的研制、敏感材料的专业化生产和光导纤维及其他光纤器件、制品的发展,Jiang1
我们相信，在党和国家重视和关怀下，各地区各部门大力协同，实行正确的发展战略和对策，我国电子工业一定能够振兴和发展，为四化建设作出应有的贡献,Jiang1
(1)这是江泽民同志在《红旗》杂志一九八四年第十八期上发表的文章的主要部分,Jiang1
江泽民同志当时任电子工业部部长,Jiang1
人民政府要为人民办实事(1),Jiang1
（一九八七年一月十二日）,Jiang1
上海是我国最重要的工业基地之一，也是我国最大的国际港口城市和经济中心,Jiang1
解放以来，上海为全国社会主义建设作出了很大贡献,Jiang1
一九八五年创造的工业总产值占全国的十分之一，财政收入占全国的七分之一；全员劳动生产率、人均上缴税利、人均工业净产值、百元资金实现利税等主要经济效益指标均居全国第一位,Jiang1
这些成绩都是在党中央、国务院领导下，在全国各兄弟省区市大力支持下，依靠全市人民团结奋斗得来的,Jiang1
但是，上海也存在着许多令人忧虑的问题,Jiang1
由于种种原因，上海长期以来过多地强调发挥工业基地的作用，忽视城市建设，忽视改善人民群众的生活环境和提高人民群众的生活质量，致使城市基础设施十分薄弱，欠账过多,Jiang1
