sentence,doc
设置 经济特区 ， 加快 经济 发展 ( 1 ),Jiang1
（ 一九八○年八月二十一日 ）,Jiang1
我 受 国务院 委托 ， 现 对 在 广东 、 福建 两 省 设置 经济特区[1] 和 《 广东省经济特区 条例 》 作 简要 说明,Jiang1
一 、 设置 经济特区 的 依据 和 经济特区 的 性质,Jiang1
根据 第五届全国人民代表大会 第二次 会议 通过 的 《 政府 工作 报告 》 提出 的 “ 继续 做好 技术 引进 工作 ， 积极 利用 国外 资金 ， 努力 扩大 出口 ” 的 任务 ， 参照 世界 上 一些 发展中国家 举办 出口 加工区 、 加快 经济 发展 的 经验 ， 为 发展 对外 经济 合作 和 技术交流 ， 扩大 出口 贸易 ， 促进 社会主义 现代化 建设 ， 去年七月 即 着手 筹备 在 广东省 深圳 、 珠海 、 汕头 和 福建省 厦门 划 出 一定 区域 ， 设置 经济特区,Jiang1
先 开始 在 深圳 筹建,Jiang1
这种 经济特区 吸收 了 世界 上 一些 出口 加工区 的 有益 经验 和 通用 做法 ， 又 有 我国 自己 的 特点,Jiang1
这是 在 社会主义制度 下 ， 在 特定 地区 内 ， 鼓励 和 利用 外国 投资 、 加快 经济 发展 的 一种 特殊 方式,Jiang1
广东 、 福建 两 省 毗邻 香港 、 澳门 和 台湾 ， 港澳台 同胞 和 华侨 很多 ， 对 外资 、 侨资 具有 特殊 的 吸引力 ， 在 两 省 的 特定 地区 设置 经济特区 ， 有 其 独特 的 有利 条件,Jiang1
经济特区 采取 与 内地 不同 的 体制 和 更加 开放 的 政策 ， 充分 利用 国外 的 资金 和 技术 ， 发展 工业 、 农业 、 畜牧业 、 养殖业 、 旅游业 、 住宅 建筑业 、 高技术 研究 制造业 和 其他 行业,Jiang1
由于 它 比 一般 出口 加工区 的 范围 要 广 一些 ， 是 综合性 经济 事业 ， 所以 定名 为 经济特区 ， 以资 区别,Jiang1
现在 ， 世界 上 兴建 的 出口 加工区 已 有 七十多处 ， 大部分 收到 了 较好 的 经济效益,Jiang1
深圳经济特区 筹建 以来 进展 良好 ， 其中 蛇口 工业区 进展 较 快 ， 已 显示 出 一些 好的 前景,Jiang1
二 、 经济特区 组织 管理 的 基本原则,Jiang1
经济特区 管理 必须 维护 我国 主权,Jiang1
土地 属 中华人民共和国 所有,Jiang1
经济特区 的 企业 和 个人 的 活动 必须 遵守 我国 法律 、 法令 和 有关 规定,Jiang1
外商 在 经济特区 内 投资 必须 经过 审查 批准 ， 服从 我国 政府 管理,Jiang1
两 省 设立 经济特区管理委员会 ， 在 省 人民政府 直接 领导 下 ， 行使 政府 职权 ， 对 经济特区 实行 统一 管理,Jiang1
经济特区 设 双重 海关 ， 实行 内紧外松 的 原则,Jiang1
三 、 对 经济特区 企业 的 优惠 政策,Jiang1
在 经济特区 条例 中 作 了 一些 比较 优惠 的 规定 ： 经过 一定 的 批准 手续 ， 允许 外资 独自 经营 企业 ； 允许 国外 银行 和 保险公司 设立 分支 机构 ； 免征 货物 进出口 关税 ； 享受 比 内地 中外合资企业 较低 的 税率 ， 也 略低于 港澳 的 税率 ； 简化 出入境 手续 ， 方便 往来 ； 外汇 管理 适当 放宽 ， 客商 的 合法 利润 和 外籍 职工 的 工资 收入 在 缴纳 各种 税款 后 ， 允许 通过 经济特区 的 银行 汇出,Jiang1
对 经济特区 企业 的 场地 使用费 、 使用 年限 等 ， 都 作 了 较 内地 中外合资企业 更 优惠 的 规定,Jiang1
这些 规定 既 考虑 了 我国 的 利益 ， 又 注意 到 外国 投资者 和 港澳台 同胞 、 华侨 投资者 的 利益 ， 总 的 目的 是 更 有效 地 吸收 外来 资金 、 先进 技术 和 管理 经验 为我所用 ， 加快 四化 建设,Jiang1
四 、 经济特区 建设 的 实施 步骤,Jiang1
建设 经济特区 ， 在 经济 上 、 意识形态 上 存在 着 尖锐 的 斗争 ， 而 我们 又 缺乏 经验 ； 同时 ， 目前 国内 的 财力 物力 也 有限,Jiang1
因此 ， 要 采取 既 积极 又 慎重 的 方针,Jiang1
准备 首先 集中 力量 把 深圳经济特区 建设 好 ， 其次 是 珠海 、 厦门 、 汕头经济特区,Jiang1
深圳市 （ 即 原 宝安县）行政区划 为 二千零二十平方公里 ， 将 其 大 、 小梅沙 到 福田 、 蛇口 这 一 狭长 地段 共 三百二十七点五平方公里 划 为 经济特区 （ 其中 二百二十九点五平方公里 为 山地 ， 是 很 好的 自然 屏障 ， 实际 使用 面积 为 九十八平方公里 ）,Jiang1
珠海市行政区划 为 六百五十四平方公里 ， 将 其中 六点八平方公里 规划 为 经济特区[2],Jiang1
厦门 本岛 一百二十平方公里 ， 经济特区 初步 规划 为 二点五平方公里 [ 3],Jiang1
汕头经济特区 ， 正在 进行 规划 和 可行性 研究,Jiang1
以上 这 四个 经济特区 的 建设 ， 都 要 先 做好 总体 规划 ， 分步 实施,Jiang1
要 把 平整 土地 和 水 、 电 、 道路 、 通讯 等 基础 设施 建设 搞好 ， 为 吸引 外资 创造 良好 条件,Jiang1
要 确定 经济特区 与 内地 的 分界线 ， 添置 必要 的 隔离 设施 ， 严格 管理,Jiang1
经济特区 的 投资 项目 建设 ， 必须 符合 发展 规划 的 要求,Jiang1
要 充分 利用 现有 基础 ， 把 那些 投资 少 、 周转 快 、 收效 大 的 项目 搞 起来 ， 边 生产 边 发展,Jiang1
由于 我们 办 经济特区 缺少 经验 ， 一下子 拿 不 出 一个 总 的 经济特区 条例 来 ， 因此 先 搞 一个 《 广东省经济特区 条例 》,Jiang1
该 条例 已经 广东省 第五届人民代表大会 通过,Jiang1
在 国务院 讨论 通过 之前 ， 国家进出口管理委员会 曾 邀请 有关 部门 和 广东省 的 同志 对 条例 进行 了 多次 研究 ， 并 作 了 必要 的 修改,Jiang1
请予 审议 决定,Jiang1
注释,Jiang1
[ 1] 一九七九年七月 ， 中共中央 、 国务院 批转 《 广东省委 、 福建省委 关于 对外 经济 活动 实行 特殊 政策 和 灵活 措施 的 两个 报告 》 ， 同意 在 广东省 深圳 、 珠海 、 汕头 和 福建省 厦门 试办 出口 特区,Jiang1
一九八○年五月 ， 中共中央 、 国务院 《 关于 〈 广东 、 福建 两 省 会议 纪要 〉 的 批示 》 中将 出口 特区 改称 为 经济特区,Jiang1
同年八月 ， 第五届全国人民代表大会常务委员会 第十五次 会议 批准 《 广东省经济特区 条例 》 ， 这 四个 经济特区 相继 兴建,Jiang1
一九八八年四月 ， 第七届全国人民代表大会 第一次 会议 通过 决议 ， 批准 海南岛 为 海南经济特区 ， 实行 更加 灵活 开放 的 经济 政策,Jiang1
我国 现有 五个 经济特区,Jiang1
[ 2] 一九八三年六月二十九日 ， 经 国务院 批准 ， 珠海经济特区 面积 扩 至 十五点一六平方公里,Jiang1
一九八八年四月五日 ， 经 国务院 批准 ， 珠海经济特区 面积 扩 至 一百二十一平方公里,Jiang1
[ 3] 一九八五年六月二十九日 ， 经 国务院 批准 ， 厦门经济特区 的 区域 范围 调整 为 厦门 全岛 和 鼓浪屿 全 岛 ， 面积 一百三十一平方公里,Jiang1
( 1) 这是 江泽民 同志 在 五届全国人大常委会 第十五次 会议 上 所 作 的 关于 在 广东 、 福建 两 省 设置 经济特区 和 《 广东省经济特区 条例 》 的 说明,Jiang1
江泽民 同志 当时 任 国家进出口管理委员会 、 国家外国投资管理委员会 副 主任 兼 秘书长,Jiang1
振兴 电子 工业 ， 促进 四化 建设 ( 1 ),Jiang1
（ 一九八四年九月十六日 ）,Jiang1
在 新技术革命 的 挑战 面前 ， 人们 十分 关注 我国 电子 工业 的 建设 和 发展,Jiang1
多数 同志 主张 ， 我国 应该 重视 新兴 技术 的 发展 和 应用 ， 发挥 电子 工业 在 现代化 建设 中 的 先导 作用 ， 采取 有力 措施 ， 加快 它 的 发展,Jiang1
只有 这样 ， 才能 创建 和 发展 高技术 产业 ， 用 先进 电子 技术改造 传统 产业 ， 建立 起 我国 现代化 的 物质 技术 基础 ， 赶上 先进工业 国家 的 科学技术水平 ， 为 实现 经济 振兴 创造 条件,Jiang1
有些 同志 则 认为 ， 我国 当务之急 是 重点 发展 传统 工业 ， 等 把 传统 工业 搞 上去 ， 有 了 基础 ， 才能 大力 发展 电子 工业,Jiang1
也 有人 认为 ， 我国 人口 多 ， 搞 自动化会 造成 就业 难 ， 等等,Jiang1
我们 认为 ， 在 世界 新技术革命 蓬勃 兴起 的 新 形势 下 ， 我们 应该 深刻 领会 国务院 关于 第六个 五年计划 的 报告 中 的 一段 话 ： “ 电子工业 在 现代化 建设 中 具有 特别 重大 的 作用 ， 我们 应该 非常 重视 它 的 发展 ， 并 把 电子 技术 逐步 应用 于 国民经济 各 部门,Jiang1
” 根据 这个 精神 ， 我们 应该 高度 重视 电子 工业 的 发展,Jiang1
诚然 ， 目前 我国 传统 工业 还 不 十分 发达 ， 技术水平 也 不 高 ， 特别是 能源 、 交通 是 四化 建设 中 最 薄弱 的 环节 ， 应该 作为 建设 重点 ， 加快 发展,Jiang1
但是 ， 怎样 把 传统 工业 和 薄弱环节 搞 上去 呢,Jiang1
关键 在于 依靠 技术 进步 ， 把 传统 工业 建立 在 先进 物质 技术 基础 之上,Jiang1
从 某种 意义 上 说 ， 先进 物质 技术 基础 的 核心 就是 现代 电子 科学技术,Jiang1
大力 发展 和 应用电子科学技术 ， 可以 为 传统 工业 的 建设 和 技术改造 提供 先进 技术装备 ， 注入 新 的 生产力 ， 同时 又 可以 提高 能源 利用率 ， 减少 国民经济 发展 对 能源 的 压力,Jiang1
这 也是 解决 能源 、 交通 紧张 状况 的 有效 途径 之一,Jiang1
据 预测 ， 我国 电力 工业 采用 电子计算机 自动 监控 和 调度 ， 每年 仅 减少 停电 损失 就 可 达 二十余亿元,Jiang1
一九八○年 ， 我国 火力 发电 二千四百多亿度 ， 如果 采用 电子 控制 等 先进 技术 ， 达到 国外 先进 水平 ， 可 减少 煤耗 二千三百万吨,Jiang1
煤炭 、 石油 、 化工 等 部门 采用 电子 技术 进行 生产 过程 自动 控制 和 经济管理 ， 可以 大大 提高 生产 效率,Jiang1
铁路 运输 如果 普遍 采用 电子计算机 进行 营运 管理 ， 据 国外 经验 ， 一般 可 提高 运输 效率 百分之二十五 至 百分之三十,Jiang1
我国 即使 按 提高 百分之十测算 ， 可 节省 大量 货车 ， 一年 可 多 运 两亿吨 左右 的 物资 ， 仅 铁路 系统 即可 增收 十亿元 以上 ， 因 加速 物资 周转 而 带来 的 社会 经济效益 就 更为 可观,Jiang1
机械 、 轻工 、 纺织 等 行业 采用 电子 技术 ， 可以 促进 产品 更新换代 ， 提高 生产 技术水平 ， 引起 产业 结构 的 重大 变革,Jiang1
所以 ， 在 现代化 建设 中 ， 电子工业 要 以 传统 工业 为 基础 ， 而 传统 工业 的 发展 和 改造 又 离不开 电子 技术 的 支持,Jiang1
加快 电子 工业 发展 ， 并 使 其 有 一定 的 超前期 ， 是 合乎 经济 发展 规律 的,Jiang1
我国 人口 多 ， 劳动力 资源 雄厚 ， 这是 发展 劳动 密集型 产业 的 有利 条件,Jiang1
但是 ， 不能 因此 而 忽视 搞 自动化 的 必要性,Jiang1
在 我们 国家 ， 搞 自动化 ， 主要 不是 为了 把 人 顶替 下来 ， 而是 为了 提高 产品 质量 、 生产 效率 和 经济效益 ， 用 同样 多 的 劳动 消耗 创造 更 多 的 物质财富 ， 满足 人民群众 不断 增长 的 物质 文化 需要,Jiang1
同时 ， 我们 在 进行 科学 实验 和 社会 生产 的 活动 中 ， 有 许多 工程 和 作业 是 不能 单 靠 人 的 双手 和 器官 直接 完成 的 ， 必须 借助 现代化 的 电子 技术装备 才能 实现,Jiang1
如 浩繁 数据 的 计算 和 处理 ， 微观 结构 和 宇宙 宏观 世界 的 观测 ， 高 精度 产品 的 生产 过程 控制 和 检测 ， 战略 武器 的 制导 ， 大量 的 瞬息 变化 的 社会 信息 的 传输 和 处理 等 ， 都 要 借助 电子 技术装备 才能 达到 快速 、 灵敏 、 准确 的 要求,Jiang1
搞 了 自动化 ， 在 某些 工序 和 岗位 上 会 减少 一些 直接 生产 人员 ， 但 这些 人 可以 转移 到 别的 岗位 上 从事 新 的 工作,Jiang1
就是 达到 很 高 的 自动化 程度 以后 ， 也 需要 许多 人 监控 技术装备 ， 做 程序 设计 、 维护 修理 及 辅助 工作 等,Jiang1
搞 自动化 可以 促使 职工 队伍 结构 从 体力劳动 型 向 智力劳动 型 转变,Jiang1
电子工业 中 一些 新兴 行业 的 发展 ， 还 会 为 更 多 的 人 提供 新 的 就业 机会,Jiang1
如 软件 业 和 信息处理 服务业 等 新兴 行业 的 迅速 发展 ， 就 要求 大量 增加 从事 软件 制作 、 信息处理 和 技术 服务 的 人员,Jiang1
大力 发展 和 推广应用电子 技术 ， 会 有力 地 推动 社会主义 精神文明 建设 ， 加快 提高 全 民族 的 科学 文化水平,Jiang1
因为 电子 工业 能 为 科学研究 、 文化教育 、 广播 宣传 提供 多种多样 先进 的 科学 实验 手段 、 教育 设施 和 宣传 工具 ， 从而 促进 科学技术 和 文化 的 传播 ， 扩大 教育 面 ， 提高 教学 质量,Jiang1
电子工业 还 向 社会 提供 日益 丰富多彩 的 家用电器 ， 促进 人民群众 的 物质 文化 生活水平 逐步 提高,Jiang1
目前 ， 我国 电子 工业 发展 中 存在 的 突出 问题 是 ： 基础 薄弱 ， 技术 落后 ， 与 世界 先进 水平 相比 差距 很 大 ， 这种 情况 同 它 在 四化 建设 中 担负 的 重任 很 不 适应 ； 面对 新技术革命 的 挑战 和 现代化 建设 对 电子 技术 的 迫切 需求 ， 电子工业 正 处于 需要 集中 力量 加速 发展 的 关键 时期 ， 而 目前 我国 财力 有限 ， 能 用于 发展 电子工业 的 财力 物力 不 多 ， 又 很 分散 ； 在 新技术革命 的 启示 和 推动 下 ， 各地区 各 部门 对 发展 电子工业 表现 出 前所未有 的 可贵 的 积极性 ， 但 如果 指导 不力 ， 也 有 可能 产生 一哄而起 、 盲目 发展 的 问题 ； 进一步 实行 对外开放 政策 后 ， 给 我们 引进 和 采用 世界 先进 技术 、 加快 技术 进步 带来 更 多 的 机会 ， 但 同时 我国 电子 产品 也 面临 着 国外 电子 产品 更加 激烈 的 竞争 ； 目前 我国 经济管理体制 中 存在 的 政企不分 、 条块 分割 问题 ， 不 利于 全国电子工业 统筹 规划 、 协调 发展 ， 不 利于 发挥 企业 的 积极性,Jiang1
鉴于 此 ， 要 加快 发展 我国 电子工业 ， 必须 从 我国 实际情况 出发 ， 借鉴 国外 的 有益 经验 ， 坚持 改革 ， 勇于 创新 ， 认真 解决 好 以下 几个 问题,Jiang1
（ 一 ） 切实 解决 电子 工业 的 战略 地位 问题 ， 并 制定 相应 的 对策,Jiang1
电子 工业 在 四化 建设 中 担负 着 为 部队 提供 现代 军事 电子 装备 、 为 国民经济 各 部门 提供 现代 电子 技术装备 、 为 人民群众 提供 生活 消费类 电子 产品 的 重任,Jiang1
新技术革命 越 深入 ， 它 在 发展 经济 、 推动 社会 进步 中 的 作用 就 越 重要,Jiang1
因此 ， 我 认为 ， 在 经济 建设 中 ， 我们 应该 把 电子 工业 放 在 和 能源 、 交通 同样 重要 的 战略 地位 上来 ， 重点 扶持 ， 加快 它 的 发展,Jiang1
同时 ， 要 研究 电子工业 的 发展 战略 和 制定 相应 的 对策 ， 如 投资 对策 、 新技术 新产品 研究 开发 对策 、 技术 引进 和 电子 产品 进出口 对策 、 工业 生产 布局 对策 、 电子 技术 应用 和 装备 对策 、 智力 开发 对策 等 ， 作为 具体 的 政策 措施 ， 在 实际 工作 中 加以 落实,Jiang1
（ 二 ） 树立 全国 一盘棋思想 ， 统筹 规划 ， 加强 行业 管理,Jiang1
