sentence,doc
中国 社会 各 阶级 的 分析,Mao1
（ 一九二五年十二月一日 ）,Mao1
毛泽东 此文 是 为 反对 当时 党内 存在 着 的 两种 倾向 而 写 的,Mao1
当时 党内 的 第一种 倾向 ， 以 陈独秀 为 代表 ， 只 注意 同 国民党 合作 ， 忘记 了 农民 ， 这是 右倾机会主义,Mao1
第二种 倾向 ， 以 张国焘 为 代表 ， 只 注意 工人运动 ， 同样 忘记 了 农民 ， 这是 “ 左 ” 倾 机会主义,Mao1
这 两种 机会主义 都 感觉 自己 力量 不足 ， 而 不 知道 到 何处 去 寻找 力量 ， 到 何处 去 取得 广大 的 同盟军,Mao1
毛泽东 指出 中国 无产阶级 的 最 广大 和 最 忠实 的 同盟军 是 农民 ， 这样 就 解决 了 中国 革命 中 的 最 主要 的 同盟军 问题,Mao1
毛泽东 并且 预见 到 当时 的 民族资产阶级 是 一个 动摇 的 阶级 ， 他们 在 革命 高涨 时 将要 分化 ， 其 右翼 将要 跑 到 帝国主义 方面 去,Mao1
一九二七年 所 发生 的 事变 ， 证明 了 这 一点,Mao1
谁 是 我们 的 敌人,Mao1
谁 是 我们 的 朋友,Mao1
这个 问题 是 革命 的 首要 问题,Mao1
中国 过去 一切 革命 斗争 成效 甚 少 ， 其 基本 原因 就是 因为 不能 团结 真正 的 朋友 ， 以 攻击 真正 的 敌人,Mao1
革命党 是 群众 的 向导 ， 在 革命 中未有革命党 领错 了 路 而 革命 不 失败 的,Mao1
我们 的 革命 要 有 不 领 错路 和 一定 成功 的 把握 ， 不可不 注意 团结 我们 的 真正 的 朋友 ， 以 攻击 我们 的 真正 的 敌人,Mao1
我们 要 分辨 真正 的 敌友 ， 不可不 将 中国 社会 各 阶级 的 经济 地位 及其 对于 革命 的 态度 ， 作 一个 大概 的 分析,Mao1
中国 社会 各 阶级 的 情况 是 怎样 的 呢,Mao1
地主阶级 和 买办 阶级,Mao1
